Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,84.4,-55.4,90.0,top
C2,22uF,C_1206_3216Metric_Pad1.33x1.80mm_HandSolder,55.9,-55.4,90.0,top
C3,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.1,-110.0,180.0,top
C4,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,77.1,-110.0,0.0,top
C5,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,64.0,-75.0,180.0,top
C6,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.4,-84.6,180.0,top
C7,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,64.0,-81.4,0.0,top
C8,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,64.0,-76.6,0.0,top
C9,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.4,-75.0,0.0,top
C10,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.4,-79.8,0.0,top
C11,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-85.6,180.0,top
C12,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-75.6,180.0,top
C13,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.1,-106.8,0.0,top
C14,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.3,-101.2,0.0,top
C15,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.9,-91.6,0.0,top
C16,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.3,-94.8,180.0,top
C17,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.3,-99.6,180.0,top
C18,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.9,-101.2,180.0,top
C19,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.9,-96.4,180.0,top
C20,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-90.6,0.0,top
C21,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-100.6,0.0,top
C22,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,77.1,-106.8,180.0,top
C23,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.4,-129.6,0.0,top
C24,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,64.0,-120.0,0.0,top
C25,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.4,-123.2,180.0,top
C26,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.4,-128.0,180.0,top
C27,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,64.0,-129.6,180.0,top
C28,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,64.0,-124.8,180.0,top
C29,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-119.0,0.0,top
C30,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-129.0,0.0,top
C31,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,77.1,-113.2,180.0,top
C32,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.9,-133.5,180.0,top
C33,2.2nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.3,-143.1,180.0,top
C34,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.9,-139.9,0.0,top
C35,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.9,-135.1,0.0,top
C36,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.3,-133.5,0.0,top
C37,1nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,76.3,-138.3,0.0,top
C38,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-144.1,180.0,top
C39,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-134.1,180.0,top
C40,10nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,63.1,-113.3,0.0,top
C41,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-63.3,180.0,top
C42,100nF,C_0603_1608Metric_Pad1.08x0.95mm_HandSolder,70.2,-72.0,0.0,top
D1,1N5819,D_SOD-123,88.4,-55.4,90.0,top
